Rank,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,238985,21337936115,89287,3.9
2,218611,16307677242,74597,4.6
3,113602,8554412153,75302,1.3
4,58017,4527347629,78035,1.1
5,49821,4364103555,87596,2.1
6,28852,2726599652,94503,2.0
7,24396,2717240627,111381,1.1
8,59259,2626272272,44319,0.6
9,11074,2364850962,213550,0.6
10,40067,2232309897,55714,1.3
11,21505,2180986846,101602,0.8
12,31943,2150254010,67315,0.8
13,19229,2108593078,109657,0.5
14,13811,2105263166,152434,0.5
15,62465,2069860859,33140,0.3
