Rank,LenderName,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,JPMorgan Chase Bank,269424,29066127405,107882,4.4
2,Bank of America,334761,25203076316,75287,3.8
3,Truist Bank,78669,13075965877,166215,2.0
4,PNC Bank,72908,13038347212,178833,2.0
5,Wells Fargo Bank,185598,10470396296,56414,1.6
6,TD Bank,82773,8468624019,102311,1.3
7,KeyBank,41487,8138794697,196177,1.2
8,U.S. Bank,101377,7444906047,73438,1.1
9,Zions Bank,46707,6941735934,148623,1.1
10,M&T Bank,34680,6791223167,195825,1.0
11,Huntington Bank,37122,6528043675,175854,1.0
12,Fifth Third Bank,38197,5434319532,142271,0.8
13,Cross River Bank,134472,5361597126,39871,0.8
14,Citizens Bank,49670,5007022864,100806,0.8
15,BMO Harris Bank,21362,4815533089,225425,0.7
