NAICS_Subsector_Desc,LoanCount,NetDollars,PctOfAmount
Construction,177905,44906538010,13.12
"Professional, Scientific, and Technical Services",208360,43294713938,12.65
Manufacturing,108863,40922240021,11.96
Health Care and Social Assistance,183542,39892493481,11.65
Accommodation and Food Services,161876,30500417573,8.91
Retail Trade,186429,29418369063,8.59
Wholesale Trade,65078,19489410472,5.69
Other Services (except Public Administration),155319,17707077167,5.17
Administrative and Support and Waste Management and Remediation Services,72439,15285814286,4.47
Real Estate and Rental and Leasing,79784,10743430227,3.14
Transportation and Warehousing,44415,10598076231,3.1
Finance and Insurance,60134,8177041995,2.39
Educational Services,25198,8062652288,2.36
Information,22825,6675630276,1.95
"Arts, Entertainment, and Recreation",39670,4939280138,1.44
"Agriculture, Forestry, Fishing and Hunting",46334,4374343877,1.28
Mining,11168,3894793207,1.14
Public Administration,5570,1197353586,0.35
Management of Companies and Enterprises,3211,1170748130,0.34
Utilities,3247,1027575137,0.3
